          Q9NQ76   O14757   Q8IVT5   Q8N5P1   P62993   P62241   P00519   Q13535   Q13315   P12931   Q13435   P06241   Q9H7E9
  Q9NQ76        0        1        0        0        1        0        1        0        0        1        0        1        0
  O14757        0        0        1        0        0        0        0        0        0        0        0        0        0
  Q8IVT5        0        0        0        1        0        0        0        0        0        0        0        0        0
  Q8N5P1        0        0        0        0        0        0        0        0        0        0        0        0        0
  P62993        0        0        0        0        0        1        0        0        0        0        0        0        0
  P62241        0        0        0        1        0        0        0        0        0        0        0        0        0
  P00519        0        0        0        0        0        0        0        1        1        0        0        0        0
  Q13535        0        0        0        1        0        0        0        0        0        0        0        0        0
  Q13315        0        0        0        1        0        0        0        0        0        0        0        0        0
  P12931        0        0        0        0        0        0        0        0        0        0        1        0        0
  Q13435        0        0        0        1        0        0        0        0        0        0        0        0        0
  P06241        0        0        0        0        0        0        0        0        0        0        0        0        1
  Q9H7E9        0        0        0        1        0        0        0        0        0        0        0        0        0
